Nom de la gare,2020,2019,2018,2017,2016,2015
Abancourt,32396,42685,40228,43760,41096,39720
Achères Grand Cormier,120871,221003,228032,235698,238687,241046
Acheux - Franleu,0,2,235,104,308,898
Agen,860964,1211323,1109199,1194455,1141620,1183150
Alaï,32702,37840,37031,35720,27939,21972
Albert,347558,473720,447970,471473,455852,453216
Albigny - Neuville,186241,238564,229444,246020,231790,239630
Allée de la Tour Rendez-Vous,344568,630008,651602,673383,683635,690917
Altkirch,217365,322676,303746,310531,286839,284515
Amifontaine,13302,14722,15470,15485,12624,11071
Angerville,100210,183224,175547,170954,162250,153525
Annappes,882,1638,1285,811,641,883
Annecy,1562888,2334077,2209179,2390892,2216925,2235873
Annemasse,647893,709777,618090,793906,767099,781951
Arbanats,46502,58138,42489,40409,38450,40206
Armentières,613551,793833,761726,826628,816834,811472
Arnage,7963,12703,14550,17688,15575,19029
Ars-sur-Moselle,74062,108528,102738,113392,121770,137841
Asnières-sur-Seine,9294333,16996318,16317005,15666171,15431212,13008898
Athis-Mons,921369,1684717,1680397,1687816,1660228,1625618
Aubagne,634307,958241,935040,971737,841969,747027
Aubigny-en-Artois,39296,50207,48982,58250,60607,63351
Auchy-lès-Hesdin,589,1133,1414,5041,7936,9640
Audruicq,197448,250145,233256,244600,233684,231014
Avion,45458,84499,78849,83024,77329,79387
Ax-les-Thermes,35495,66861,68712,84104,76609,87362
Ay,42312,58894,59687,67310,67550,64703
Baisieux,33237,57067,54454,53118,44687,37822
Baraqueville Carcenac Peyralès,7645,9837,6223,6141,6053,5699
Bar-sur-Aube,79554,89686,74247,83462,81953,83007
Bauvin - Provin,106504,185978,175839,180078,174049,173097
Bazancourt,173338,174023,165165,186025,179649,173383
Bazoches,4467,5856,8488,8864,10238,10352
Beaurainville,1744,2379,2962,13336,23410,26699
Beauvoir-sur-Niort,25176,26170,24235,24545,24094,22629
Beillant,55,89,11,200,205,396
Bellenaves,3307,6618,6547,6744,8580,6510
Bellignat,3355,5373,5208,7183,7693,7198
Belloy - Saint-Martin,99976,182798,188233,182248,178318,173862
Belvezet,311,264,290,609,549,201
Benfeld,361262,562406,494393,486730,452346,448426
Bessay-sur-Allier,9102,13912,11071,11083,10237,8474
Betton,48846,69479,57640,60526,54956,59721
Biot,150711,273426,227496,239282,195896,251314
Bitche,15583,26270,20640,19610,18895,23357
Blaisy-Bas,36567,36585,35558,43707,39990,42547
Blangy-sur-Ternoise,77,8,5,535,1407,1916
Boën-sur-Lignon,16541,25451,11921,13859,22402,31040
Boigneville,19320,35444,39428,44679,48929,53891
Bois-Colombes,2985695,5459393,5453024,5474708,5106507,5307858
Bois-d'Oingt - Légny,23861,35206,28578,25221,46924,49282
Boisset,13,61,58,82,120,174
Bollwiller,204231,298568,259569,260987,257549,258783
Bolquère - Eyne,2147,1965,1188,1378,1473,1720
Boran-sur-Oise,24170,41161,44209,46272,43084,42347
Bornel - Belle-glise,209769,297438,278858,305842,298770,287515
Boulogne-sur-Mer,568031,830447,784536,857777,858187,921416
Bourgneuf-en-Retz,11428,18222,14560,15541,14164,11131
Bourron-Marlotte - Grez,82729,151614,138473,127852,114171,103948
Boutigny-sur-Essonne,95542,174695,183549,193710,200565,206851
Bram,57267,77466,55774,67119,62165,60963
Brandérion,7003,8446,3550,2015,1601,2008
Brassac-les-Mines - Sainte-Florine,75737,102367,95369,111519,108499,114501
Brest,1305129,1962604,1722004,1709736,1631603,1653322
Brétigny-sur-Orge,3639693,6654818,6622680,6638324,6515476,6360502
Breuillet - Bruyères-le-Châtel,281996,515602,518454,525645,520688,513952
Brimeux,380,152,3,451,514,1431
Brion - Montréal-la-Cluse,25344,35922,32292,32521,38422,44243
Brive-la-Gaillarde,538164,810034,758883,864600,836580,890457
Bruyères-sur-Oise,57356,112059,122599,111374,108183,102976
Bueil,66030,107823,103373,133082,130854,127653
Busigny,44422,56535,49018,55333,50415,54060
Buzy en Béarn,6920,9425,6855,7884,8354,7842
Callac,29476,27278,23917,24032,21166,22912
Carbonne,191932,242174,211810,275991,264504,285182
Carnoles,412844,681005,569840,621458,547273,457493
Castelnaudary,207782,281801,247301,307949,298324,294644
Cattenières,248,544,1,8,3,13
Cavaillon,124208,199358,172495,193612,181721,193683
Cavignac,40871,55349,44820,39048,31594,30154
Cergy Saint-Christophe,4135105,7560627,7359555,7125540,6806298,6453027
Cérons,217265,305309,256860,233554,212203,196905
Chabenet,155,87,95,115,80,99
Challans,118681,179537,149736,158081,141623,109007
Châlons-en-Champagne,468771,801402,717835,825899,796200,840726
Chalon-sur-Saône,1040278,1309047,1238458,1366947,1297413,1412751
Chambourg-sur-Indre,2154,8861,10751,14050,14040,14479
Chamonix Aiguille du Midi,4729,5373,4670,3869,3105,3748
Champagnole,36540,35922,28993,33993,29142,27213
Champs - Saint-Bris,1684,3062,2172,3169,3195,7201
Chantenay-Saint-Imbert,11116,7703,6355,7940,7642,7487
Chantonnay,8294,17727,17660,15532,16152,19927
Charleville-Mézières,776821,1001032,973619,1080642,1079803,1156793
Chars,117197,216668,210567,211762,207620,204576
Châteaubriant Tram Train,56599,100608,98200,105333,100208,103290
Châteaudun,85850,119897,97281,100024,98778,109346
Châteauneuf - Bujaleuf,2428,3889,2376,2274,2433,2849
Chaville Rive Droite,1317735,2409913,2355862,2314358,2233621,1907117
Chelles - Gournay,5947634,10874698,10902348,10947125,10797607,10591778
Chemin d'Antony,218873,400187,394028,391171,380440,367722
Cherbourg-en-Cotentin,318696,576122,516083,574314,553961,592294
Chevilly,42337,45655,39508,33060,35606,39457
Chindrieux,16002,23568,20149,20739,15265,15915
Chorges,13473,26500,24056,30826,28090,32345
Clamecy,17143,27041,21852,24943,23797,25616
Clisson,609207,934116,837855,843331,800484,772288
Compans,20752,38205,40000,39917,41082,40731
Conflans Fin d'Oise,2858401,5226077,5328451,5463185,5490546,5483634
Corbigny,3962,6542,4865,5091,4664,4394
Cormeilles-en-Parisis,2014618,3683266,3750496,3830848,3843422,3651596
Coron de Méricourt,12501,33746,33675,35421,31557,30520
Couëron,33555,56980,46990,37526,32029,32373
Coulanges-sur-Yonne,2880,3880,2401,2507,2812,3208
Courcy - Brimont,20987,20326,18016,18842,20782,21508
Courtalain - Saint-Pellerin,3804,4511,4586,4140,5170,5739
Crépieux la Pape,5478,9378,6463,7130,6194,7511
Crépy-en-Valois,1064830,1760549,1683624,2123053,1784694,1570943
Cugand,14969,12805,11178,11186,8527,5988
Cuinchy,28144,47390,44635,47566,46774,47637
Culoz,151638,260868,205156,230147,221698,222735
Damiatte - Saint-Paul,16042,20332,17446,21096,22814,22436
Dammartin - Juilly - Saint-Mard,543001,992824,1027727,1002882,939476,876390
Daours,27157,31699,26769,28859,28036,26913
Dardilly Les Mouilles,21457,23821,23723,19482,19157,11502
Dégagnac,267,215,151,308,347,352
Dettwiller,102216,135859,136948,141697,134122,130471
Deûlémont,147,316,332,390,574,894
Deville,22128,24336,20934,24211,25000,28099
Diemeringen,82982,99722,104237,109674,100927,104021
Dieupentale,84194,92083,78002,104385,99469,97030
Dijon Porte Neuve,103723,127926,133230,146606,144619,149762
Dinan,37277,72293,67398,83213,81345,84903
Dingé,7880,11488,9997,9641,11056,11021
Distroff,17999,16867,18734,23789,24275,25644
Docelles - Cheniménil,5168,5720,4021,5496,5733,5535
Dole,654765,839249,792855,856029,809789,803036
Dommartin - Lissieu,13235,12140,9959,9114,8849,10901
Dourdan La Forêt,227943,416770,374439,343508,307640,273548
Druye,10637,16989,18357,17107,13999,13438
Durtol - Nohanent,539,606,347,590,756,502
Duttlenheim,122028,185177,164186,163739,161498,162140
Ebersheim,11859,17186,15104,13195,14582,15433
cole-Valentin,3854,6069,5684,6386,6236,7012
couflant,0,0,0,209,1202,1380
Eichhoffen,8899,13322,10526,14473,16648,17520
loyes,22178,36583,25630,25110,23985,27749
Ennevelin,601,975,714,471,321,907
pernon,1045524,1453371,1392274,1456641,1460910,1513995
pinal,809109,1117071,1013669,1105348,1081484,1143705
Esquelbecq,111606,146409,126270,122084,110199,104612
tampes,1723318,3150915,3096908,3057162,2957089,2848779
Fère-en-Tardenois,309,1578,2558,4762,8619,12074
Ferrières - Fontenay,21354,36147,32070,35639,36797,40794
Firminy,133279,252108,213812,288912,215058,246647
Fismes,168135,188429,184856,205140,195869,199571
