Nom de la gare,Code UIC complet,Code postal,Segmentation DRG 2021,Total Voyageurs 2020,Total Voyageurs + Non voyageurs 2020,Total Voyageurs 2019,Total Voyageurs + Non voyageurs 2019,Total Voyageurs 2018,Total Voyageurs + Non voyageurs 2018,Total Voyageurs 2017,Total Voyageurs + Non voyageurs 2017,Total Voyageurs 2016,Total Voyageurs + Non voyageurs 2016,Total Voyageurs 2015,Total Voyageurs + Non voyageurs 2015
Abancourt,87313759,60220,C,32396,32396,42685,42685,40228,40228,43760,43760,41096,41096,39720,39720
Achères Grand Cormier,87386052,78100,B,120871,120871,221003,221003,228032,228032,235698,235698,238687,238687,241046,241046
Acheux - Franleu,87316745,80560,C,0,0,2,2,235,235,104,104,308,308,898,898
Agen,87586008,47000,A,860964,1076205,1211323,1514154,1109199,1386499,1194455,1493068,1141620,1427026,1183150,1478938
Alaï,87722744,69340,C,32702,32702,37840,37840,37031,37031,35720,35720,27939,27939,21972,21972
Albert,87313072,80300,B,347558,434447,473720,592150,447970,559962,471473,589341,455852,569815,453216,566521
Albigny - Neuville,87721266,69250,B,186241,232802,238564,298206,229444,286806,246020,307525,231790,289737,239630,299538
Allée de la Tour Rendez-Vous,87113878,93320,B,344568,344568,630008,630008,651602,651602,673383,673383,683635,683635,690917,690917
Altkirch,87182238,68130,B,217365,271706,322676,403345,303746,379683,310531,388164,286839,358549,284515,355644
Amifontaine,87171744,2190,C,13302,13302,14722,14722,15470,15470,15485,15485,12624,12624,11071,11071
Angerville,87543090,91670,B,100210,100210,183224,183224,175547,175547,170954,170954,162250,162250,153525,153525
Annappes,87286856,59650,C,882,882,1638,1638,1285,1285,811,811,641,641,883,883
Annecy,87746008,74000,A,1562888,1953611,2334077,2917596,2209179,2761473,2390892,2988615,2216925,2771156,2235873,2794841
Annemasse,87745497,74100,B,647893,809866,709777,887222,618090,772613,793906,992382,767099,958873,781951,977439
Arbanats,87582726,33640,C,46502,46502,58138,58138,42489,42489,40409,40409,38450,38450,40206,40206
Armentières,87286146,59280,B,613551,766939,793833,992292,761726,952158,826628,1033285,816834,1021043,811472,1014340
Arnage,87396549,72230,C,7963,7963,12703,12703,14550,14550,17688,17688,15575,15575,19029,19029
Ars-sur-Moselle,87192401,57130,B,74062,92577,108528,135661,102738,128422,113392,141740,121770,152213,137841,172301
Asnières-sur-Seine,87381137,92600,B,9294333,9294333,16996318,16996318,16317005,16317005,15666171,15666171,15431212,15431212,13008898,13008898
Athis-Mons,87545251,91200,B,921369,921369,1684717,1684717,1680397,1680397,1687816,1687816,1660228,1660228,1625618,1625618
Aubagne,87751750,13400,B,634307,792884,958241,1197801,935040,1168800,971737,1214671,841969,1052462,747027,933784
Aubigny-en-Artois,87342246,62690,C,39296,39296,50207,50207,48982,48982,58250,58250,60607,60607,63351,63351
Auchy-lès-Hesdin,87317230,62770,C,589,589,1133,1133,1414,1414,5041,5041,7936,7936,9640,9640
Audruicq,87281428,62370,B,197448,246811,250145,312681,233256,291570,244600,305750,233684,292105,231014,288767
Avion,87342584,62210,C,45458,45458,84499,84499,78849,78849,83024,83024,77329,77329,79387,79387
Ax-les-Thermes,87611533,9110,C,35495,35495,66861,66861,68712,68712,84104,84104,76609,76609,87362,87362
Ay,87171561,51160,C,42312,42312,58894,58894,59687,59687,67310,67310,67550,67550,64703,64703
Baisieux,87286872,59780,C,33237,33237,57067,57067,54454,54454,53118,53118,44687,44687,37822,37822
Baraqueville Carcenac Peyralès,87615757,12160,C,7645,7645,9837,9837,6223,6223,6141,6141,6053,6053,5699,5699
Bar-sur-Aube,87118299,10200,C,79554,79554,89686,89686,74247,74247,83462,83462,81953,81953,83007,83007
Bauvin - Provin,87345280,59221,B,106504,133130,185978,232472,175839,219799,180078,225098,174049,217562,173097,216372
Bazancourt,87171462,51110,B,173338,216673,174023,217529,165165,206456,186025,232532,179649,224561,173383,216728
Bazoches,87171348,2220,C,4467,4467,5856,5856,8488,8488,8864,8864,10238,10238,10352,10352
Beaurainville,87317198,62990,C,1744,1744,2379,2379,2962,2962,13336,13336,23410,23410,26699,26699
Beauvoir-sur-Niort,87485342,79360,C,25176,25176,26170,26170,24235,24235,24545,24545,24094,24094,22629,22629
Beillant,87491076,17800,C,55,55,89,89,11,11,200,200,205,205,396,396
Bellenaves,87641068,3330,C,3307,3307,6618,6618,6547,6547,6744,6744,8580,8580,6510,6510
Bellignat,87743526,1810,C,3355,3355,5373,5373,5208,5208,7183,7183,7693,7693,7198,7198
Belloy - Saint-Martin,87276550,95270,B,99976,99976,182798,182798,188233,188233,182248,182248,178318,178318,173862,173862
Belvezet,87783670,48170,C,311,311,264,264,290,290,609,609,549,549,201,201
Benfeld,87214122,67230,B,361262,451578,562406,703007,494393,617992,486730,608413,452346,565432,448426,560533
Bessay-sur-Allier,87696336,3340,C,9102,9102,13912,13912,11071,11071,11083,11083,10237,10237,8474,8474
Betton,87471045,35830,C,48846,48846,69479,69479,57640,57640,60526,60526,54956,54956,59721,59721
Biot,87757690,6410,B,150711,188389,273426,341782,227496,284370,239282,299102,195896,244870,251314,314143
Bitche,87193821,57230,,15583,15583,26270,26270,20640,20640,19610,19610,18895,18895,23357,23357
Blaisy-Bas,87713073,21540,C,36567,36567,36585,36585,35558,35558,43707,43707,39990,39990,42547,42547
Blangy-sur-Ternoise,87317248,62770,C,77,77,8,8,5,5,535,535,1407,1407,1916,1916
Boën-sur-Lignon,87726471,42130,C,16541,16541,25451,25451,11921,11921,13859,13859,22402,22402,31040,31040
Boigneville,87684407,91720,C,19320,19320,35444,35444,39428,39428,44679,44679,48929,48929,53891,53891
Bois-Colombes,87381079,92270,B,2985695,2985695,5459393,5459393,5453024,5453024,5474708,5474708,5106507,5106507,5307858,5307858
Bois-d'Oingt - Légny,87721787,69620,C,23861,23861,35206,35206,28578,28578,25221,25221,46924,46924,49282,49282
Boisset,87645184,15600,C,13,13,61,61,58,58,82,82,120,120,174,174
Bollwiller,87182709,68540,B,204231,255288,298568,373210,259569,324461,260987,326234,257549,321937,258783,323479
Bolquère - Eyne,87784801,66210,C,2147,2147,1965,1965,1188,1188,1378,1378,1473,1473,1720,1720
Boran-sur-Oise,87276444,60820,C,24170,24170,41161,41161,44209,44209,46272,46272,43084,43084,42347,42347
Bornel - Belle-Église,87276717,60540,B,209769,262211,297438,371797,278858,348573,305842,382303,298770,373462,287515,359394
Boulogne-sur-Mer,87317586,62200,B,568031,710039,830447,1038059,784536,980670,857777,1072222,858187,1072734,921416,1151770
Bourgneuf-en-Retz,87481242,44580,C,11428,11428,18222,18222,14560,14560,15541,15541,14164,14164,11131,11131
Bourron-Marlotte - Grez,87684118,77780,C,82729,82729,151614,151614,138473,138473,127852,127852,114171,114171,103948,103948
Boutigny-sur-Essonne,87681478,91820,B,95542,95542,174695,174695,183549,183549,193710,193710,200565,200565,206851,206851
Bram,87615054,11150,C,57267,57267,77466,77466,55774,55774,67119,67119,62165,62165,60963,60963
Brandérion,87476242,56700,C,7003,7003,8446,8446,3550,3550,2015,2015,1601,1601,2008,2008
Brassac-les-Mines - Sainte-Florine,87734244,63570,B,75737,94671,102367,127959,95369,119212,111519,139399,108499,135624,114501,143126
Brest,87474007,29200,A,1305129,1631411,1962604,2453255,1722004,2152505,1709736,2137171,1631603,2039504,1653322,2066652
Brétigny-sur-Orge,87545194,91220,B,3639693,3639693,6654818,6654818,6622680,6622680,6638324,6638324,6515476,6515476,6360502,6360502
Breuillet - Bruyères-le-Châtel,87545483,91650,B,281996,281996,515602,515602,518454,518454,525645,525645,520688,520688,513952,513952
Brimeux,87317180,62170,C,380,380,152,152,3,3,451,451,514,514,1431,1431
Brion - Montréal-la-Cluse,87131961,1460,C,25344,25344,35922,35922,32292,32292,32521,32521,38422,38422,44243,44243
Brive-la-Gaillarde,87594002,19100,A,538164,672706,810034,1012543,758883,948604,864600,1080750,836580,1045725,890457,1113072
Bruyères-sur-Oise,87276451,95820,C,57356,57356,112059,112059,122599,122599,111374,111374,108183,108183,102976,102976
Bueil,87387092,27730,B,66030,82538,107823,134779,103373,129216,133082,166352,130854,163568,127653,159566
Busigny,87296244,59137,C,44422,44422,56535,56535,49018,49018,55333,55333,50415,50415,54060,54060
Buzy en Béarn,87672634,64260,C,6920,6920,9425,9425,6855,6855,7884,7884,8354,8354,7842,7842
