Mois,UIC,Nom gare,Nombre de non-conformités,Nombre d'observations,Taux de conformité
2021-10,0087487637,Montreuil-Bellay,0,360,100.0
2021-10,0087491225,Gauriaguet,175,525,66.666666667
2021-10,0087491290,Loulay,0,360,100.0
2021-10,0087491449,Cognac,72,1296,94.444444445
2021-10,0087491506,Châteauneuf-sur-Charente,180,1800,90.0
2021-10,0087571000,Tours,629,20387,96.914700545
2021-10,0087575118,Les Ormes,0,504,100.0
2021-10,0087575126,Dangé-Saint-Romain,144,540,73.333333334
2021-10,0087575134,Ingrandes sur Vienne,72,504,85.714285715
2021-10,0087575167,Nerpuy,0,532,100.0
2021-10,0087575183,La Tricherie,0,504,100.0
2021-10,0087575191,Dissay,0,504,100.0
2021-10,0087581181,Ludon-Médoc,36,468,92.307692308
2021-10,0087581199,Macau,144,1080,86.666666667
2021-10,0087581256,Pauillac,216,1260,82.857142858
2021-10,0087581850,Bassens,108,1152,90.625
2021-10,0087582403,Gazinet Cestas,72,3600,98.0
2021-10,0087582767,Preignac,180,972,81.481481482
2021-10,0087582775,Langon,108,2592,95.833333334
2021-10,0087583823,Luxé,72,540,86.666666667
2021-10,0087584052,Libourne,432,10692,95.95959596
2021-10,0087584177,Vélines,72,828,91.304347827
2021-10,0087595728,Mauzens-et-Miremont,0,288,100.0
2021-10,0087611004,Toulouse Matabiau,1073,23939,95.517774344
2021-10,0087671016,Mont-de-Marsan,252,2196,88.524590164
2021-10,0087672212,Artix,90,3330,97.297297298
2021-10,0087673103,Morcenx,324,1728,81.25
2021-10,0087673269,Saint-Geours-de-Maremne,180,1260,85.714285715
2021-10,0087694141,Étang-sur-Arroux,72,1548,95.34883721
2021-10,0087696005,Nevers,360,10944,96.710526316
2021-10,0087696484,Decize,72,1764,95.918367347
2021-10,0087713198,Tonnerre,180,1584,88.636363637
2021-10,0087713578,Chagny,74,2812,97.368421053
2021-10,0087726307,Saint-Chamond,0,2556,100.0
2021-10,0087732404,Gannat,36,1260,97.142857143
2021-10,0087741181,Montmélian,252,5652,95.541401274
2021-10,0087741728,Moûtiers - Salins - Brides-les-Bains,180,4824,96.268656717
2021-10,0087742320,Saint-Jean-de-Maurienne Arvan,504,3672,86.274509804
2021-10,0087745497,Annemasse,180,5652,96.815286625
2021-10,0087751602,L'Estaque,74,1443,94.871794872
2021-10,0087751701,Saint-Marcel,36,1224,97.05882353
2021-10,0087751750,Aubagne,612,11664,94.75308642
2021-10,0087751784,La Ciotat - Ceyreste,72,4536,98.412698413
2021-10,0087753251,Rognac,296,3404,91.304347827
2021-10,0087753566,Carry-le-Rouet,37,1221,96.96969697
2021-10,0087753764,Salon-de-Provence,72,1296,94.444444445
2021-10,0087755009,Toulon,1224,17496,93.004115227
2021-10,0087755223,Bandol,288,2664,89.18918919
2021-10,0087755231,Ollioules - Sanary-sur-Mer,468,3204,85.393258427
2021-10,0087755306,La Garde,252,3420,92.631578948
2021-10,0087755314,La Pauline Hyères,180,3528,94.897959184
2021-10,0087755371,Carnoules,36,2736,98.684210527
2021-10,0087756346,Saint-Laurent-du-Var,333,4847,93.129770993
2021-10,0087756767,La Trinité Victor,87,3480,97.5
2021-10,0087757500,Fréjus,370,3848,90.384615385
